Product,Weight (kg),Dimensions (cm),Material,MaxLoad (kg)
Product Y #1208,6.19,93x30x18,Plastic,258
Product C #1209,24.77,59x29x9,Iron,10
Product B #1210,18.97,95x35x34,Steel,85
Product Z #1211,18.12,71x31x33,Carbon,221
Product Y #1212,23.21,39x56x36,Iron,65
Product X #1213,23.84,92x60x37,Titanium,244
Product E #1214,18.73,70x11x38,Carbon,264
Product D #1215,10.11,76x14x5,Carbon,15
Product Y #1216,1.72,70x36x5,Steel,236
Product X #1217,13.82,65x13x18,Steel,224
Product Y #1218,3.63,86x28x28,Iron,31
Product Y #1219,17.8,69x29x15,Aluminum,85
Product Z #1220,17.91,66x31x32,Iron,242
Product E #1221,21.1,54x38x12,Steel,231
Product C #1222,19.12,95x50x19,Steel,47
Product A #1223,5.49,72x19x23,Titanium,158
Product C #1224,7.28,80x26x8,Plastic,184
Product A #1225,12.26,68x43x24,Titanium,233
Product B #1226,19.96,87x18x31,Iron,261
Product X #1227,8.47,57x18x35,Iron,280
Product Z #1228,23.67,72x15x20,Wood,221
Product Z #1229,7.61,79x33x39,Titanium,237
Product B #1230,17.47,91x26x21,Carbon,68
Product D #1231,5.52,27x35x6,Steel,205
Product C #1232,13.25,98x10x21,Plastic,207
Product E #1233,8.39,76x15x36,Wood,80
Product A #1234,16.81,45x34x23,Steel,183
Product A #1235,3.27,20x45x9,Plastic,191
Product D #1236,1.76,38x52x6,Steel,203
Product Z #1237,17.49,24x45x17,Iron,194
Product Z #1238,15.73,40x43x33,Titanium,157
Product D #1239,19.6,64x21x28,Wood,280
Product C #1240,16.3,43x23x30,Iron,173
Product B #1241,8.78,100x43x16,Carbon,177
Product X #1242,21.08,62x56x10,Steel,34
Product A #1243,10.69,85x10x37,Iron,131
Product A #1244,10.54,71x55x20,Iron,38
Product D #1245,17.6,37x35x21,Titanium,162
Product E #1246,1.59,79x48x27,Carbon,211
Product Z #1247,14.55,63x44x32,Wood,135
Product D #1248,2.19,62x32x13,Carbon,122
Product A #1249,20.08,70x51x12,Wood,194
Product Z #1250,19.25,53x59x27,Aluminum,121
Product Z #1251,2.64,30x58x40,Steel,213
Product X #1252,24.94,76x22x18,Iron,206
Product D #1253,21.14,37x13x11,Steel,210
Product Y #1254,18.04,49x54x36,Wood,161
Product B #1255,15.89,97x35x35,Aluminum,236
Product D #1256,1.37,38x13x7,Aluminum,34
Product B #1257,22.63,21x58x8,Plastic,147
Product Y #1258,4.35,45x48x26,Carbon,109
Product Z #1259,20.63,76x50x20,Wood,265
Product Z #1260,20.49,75x13x37,Plastic,158
Product Y #1261,20.37,45x43x7,Plastic,203
Product C #1262,14.31,61x56x14,Steel,76
Product D #1263,14.23,55x13x38,Iron,249
Product B #1264,1.38,51x10x34,Steel,113
Product C #1265,13.93,40x26x24,Titanium,155
Product X #1266,2.72,78x33x22,Titanium,145
Product A #1267,22.25,50x28x37,Carbon,84
Product D #1268,20.32,82x35x5,Carbon,20
Product B #1269,15.2,78x41x27,Plastic,105
Product Y #1270,12.62,92x32x36,Plastic,152
Product X #1271,17.65,75x12x30,Carbon,26
Product D #1272,1.71,53x39x20,Iron,100
Product E #1273,24.92,57x16x7,Aluminum,259
Product A #1274,18.31,89x35x40,Iron,218
Product C #1275,12.98,28x15x5,Iron,124
Product D #1276,22.21,73x41x29,Wood,212
Product Y #1277,15.03,42x55x5,Carbon,171
Product C #1278,11.73,48x39x12,Plastic,227
Product E #1279,9.3,84x36x22,Aluminum,253
Product D #1280,6.72,65x37x10,Plastic,127
Product A #1281,21.25,37x22x34,Plastic,40
Product X #1282,16.33,62x13x32,Iron,202
Product E #1283,7.71,62x41x32,Wood,255
Product D #1284,24.96,85x32x19,Carbon,87
Product E #1285,5.99,73x17x19,Iron,140
Product C #1286,5.74,41x23x40,Steel,272
Product Z #1287,3.86,44x53x18,Aluminum,299
Product X #1288,16.52,38x18x21,Steel,170
Product X #1289,13.31,29x42x23,Carbon,135
Product X #1290,6.68,73x39x34,Plastic,41
Product X #1291,7.3,30x40x15,Carbon,68
Product Y #1292,18.66,34x12x36,Aluminum,221
Product A #1293,8.62,24x37x32,Steel,85
Product Y #1294,17.85,22x41x37,Plastic,216
Product D #1295,14.07,72x25x25,Plastic,31
Product E #1296,20.81,24x40x37,Plastic,26
Product A #1297,18.65,68x48x30,Aluminum,156
Product C #1298,17.15,37x26x16,Steel,190
Product A #1299,23.0,65x25x9,Steel,128
Product X #1300,13.84,27x37x23,Wood,167
Product X #1301,10.81,72x49x32,Wood,161
Product Z #1302,8.9,62x13x37,Steel,10
Product D #1303,1.1,85x15x34,Titanium,229
Product B #1304,4.81,54x21x13,Plastic,189
Product C #1305,21.59,64x20x26,Titanium,258
Product X #1306,19.67,70x33x37,Iron,36
Product X #1307,2.35,75x52x36,Wood,201
Product Y #1308,22.79,89x29x35,Plastic,10
Product Z #1309,22.3,47x23x14,Steel,208
Product C #1310,9.33,96x19x24,Carbon,108
Product E #1311,18.19,68x37x15,Wood,263
Product B #1312,22.62,60x45x8,Carbon,23
Product C #1313,11.72,71x15x6,Plastic,167
Product D #1314,18.33,67x48x14,Plastic,289
Product B #1315,2.55,58x25x20,Iron,143
Product B #1316,12.41,84x57x40,Titanium,295
Product E #1317,24.74,52x39x18,Titanium,122
Product C #1318,23.16,77x27x30,Titanium,139
Product A #1319,11.28,69x28x23,Carbon,193
Product D #1320,21.21,27x25x18,Plastic,168
Product D #1321,21.06,99x47x19,Carbon,254
Product C #1322,1.91,61x53x18,Plastic,12
Product E #1323,4.46,83x48x25,Wood,250
Product E #1324,17.85,76x40x36,Titanium,81
Product Z #1325,10.86,85x19x27,Steel,242
Product C #1326,17.26,50x42x16,Steel,199
Product X #1327,19.69,54x24x18,Wood,88
Product C #1328,14.33,60x14x23,Steel,105
Product D #1329,24.44,35x24x29,Wood,248
Product D #1330,6.93,83x29x36,Carbon,253
Product B #1331,7.42,71x29x13,Carbon,134
Product E #1332,9.69,24x14x16,Steel,20
Product E #1333,19.71,92x20x36,Steel,83
Product A #1334,6.2,40x60x18,Plastic,198
Product D #1335,9.61,88x12x19,Aluminum,57
Product C #1336,13.16,54x17x39,Steel,154
Product C #1337,21.49,62x23x37,Iron,243
Product Z #1338,13.43,34x51x34,Iron,51
Product Y #1339,1.49,52x17x15,Titanium,281
Product B #1340,5.64,62x35x37,Carbon,236
Product B #1341,11.39,92x41x40,Titanium,279
Product B #1342,10.0,96x43x12,Iron,286
Product D #1343,18.88,58x12x22,Iron,170
Product Z #1344,19.58,81x29x11,Carbon,32
Product D #1345,14.62,85x37x27,Titanium,241
Product A #1346,21.56,80x37x20,Aluminum,112
Product A #1347,14.55,23x27x31,Titanium,250
Product Y #1348,10.14,47x21x34,Titanium,244
Product X #1349,24.71,30x33x24,Wood,208
Product Z #1350,11.05,99x10x39,Iron,230
Product C #1351,11.62,71x12x8,Plastic,74
Product B #1352,5.88,40x38x12,Steel,199
Product C #1353,9.13,64x43x9,Steel,113
Product Y #1354,11.7,65x48x33,Steel,74
Product Z #1355,6.36,52x55x9,Aluminum,229
Product B #1356,12.58,51x48x31,Iron,24
Product A #1357,8.02,92x59x22,Aluminum,148
Product A #1358,8.07,87x47x17,Steel,81
Product Y #1359,12.98,65x37x27,Aluminum,142
Product Z #1360,24.31,86x53x18,Plastic,54
Product D #1361,24.78,81x23x21,Titanium,40
Product Y #1362,23.48,55x25x25,Titanium,155
Product A #1363,22.98,61x17x8,Aluminum,69
Product D #1364,2.46,22x46x29,Wood,274
Product B #1365,11.59,81x35x28,Titanium,195
Product C #1366,7.28,41x50x8,Steel,114
Product A #1367,17.22,22x21x26,Plastic,191
Product C #1368,8.21,59x35x34,Titanium,298
Product X #1369,9.26,57x29x37,Titanium,283
Product B #1370,5.37,57x59x6,Iron,233
Product B #1371,1.69,21x50x35,Aluminum,71
Product Y #1372,16.84,31x44x11,Plastic,162
Product X #1373,3.78,78x32x29,Steel,264
Product C #1374,8.29,66x25x19,Carbon,253
Product X #1375,7.87,70x51x36,Aluminum,23
Product X #1376,2.56,35x49x16,Aluminum,180
Product C #1377,24.39,68x57x9,Iron,120
Product X #1378,16.05,61x51x29,Titanium,20
Product X #1379,14.59,60x59x15,Aluminum,261
Product Z #1380,4.52,89x55x10,Aluminum,53
Product Y #1381,21.96,65x28x6,Wood,145
Product C #1382,24.95,66x23x36,Iron,150
Product D #1383,21.8,65x54x9,Titanium,179
Product C #1384,17.85,40x59x30,Steel,177
Product X #1385,9.87,85x15x8,Aluminum,155
Product B #1386,8.71,91x39x9,Carbon,131
Product C #1387,7.91,45x20x40,Steel,220
Product X #1388,19.01,98x21x31,Carbon,48
Product A #1389,21.38,21x56x10,Iron,17
Product C #1390,8.05,37x59x40,Plastic,144
Product B #1391,7.58,96x38x29,Plastic,286
Product Z #1392,24.89,42x32x15,Steel,239
Product A #1393,16.91,61x23x5,Steel,168
Product D #1394,8.73,36x28x15,Steel,75
Product X #1395,11.41,27x60x9,Iron,254
Product A #1396,5.2,32x25x24,Titanium,209
Product Z #1397,7.69,85x28x36,Titanium,267
Product D #1398,12.05,77x35x11,Plastic,186
Product D #1399,3.13,31x15x6,Iron,99
Product B #1400,4.79,67x23x29,Steel,178
Product C #1401,23.62,74x40x29,Plastic,146
Product C #1402,21.29,65x48x33,Wood,211
Product B #1403,13.79,61x23x25,Carbon,125
Product Y #1404,8.41,63x39x34,Carbon,106
Product Y #1405,19.41,68x22x29,Plastic,194
Product C #1406,13.09,70x60x19,Wood,113
Product E #1407,14.16,45x24x30,Carbon,21
Product B #1408,1.03,76x43x9,Titanium,248
Product A #1409,15.23,89x43x10,Plastic,298
Product D #1410,23.92,56x53x33,Steel,244
Product D #1411,18.23,76x42x14,Aluminum,247
Product X #1412,24.66,96x52x10,Plastic,67
Product E #1413,5.16,45x22x15,Aluminum,218
Product B #1414,16.55,59x40x5,Wood,84
Product D #1415,18.53,35x52x7,Carbon,222
Product X #1416,14.97,58x58x33,Carbon,148
Product D #1417,14.59,51x54x10,Carbon,164
Product B #1418,1.7,47x24x22,Steel,82
Product B #1419,17.17,91x34x16,Titanium,214
Product X #1420,6.68,34x16x29,Iron,107
Product D #1421,8.34,82x27x29,Aluminum,13
Product B #1422,2.55,25x23x30,Plastic,168
Product B #1423,22.64,23x32x18,Iron,44
Product A #1424,7.86,99x21x21,Aluminum,257
Product E #1425,6.07,56x12x40,Titanium,33
Product Z #1426,18.27,38x41x33,Wood,18
Product X #1427,8.9,53x24x25,Wood,106
Product B #1428,5.34,66x13x40,Iron,48
Product X #1429,12.51,55x27x15,Plastic,212
Product D #1430,20.16,92x34x30,Aluminum,223
Product D #1431,11.07,51x19x10,Steel,283
Product Z #1432,11.05,40x17x9,Aluminum,18
Product B #1433,2.54,23x46x8,Iron,64
Product D #1434,10.76,97x29x13,Iron,181
Product C #1435,13.96,71x27x26,Titanium,70
Product D #1436,3.71,91x56x19,Aluminum,275
Product X #1437,9.0,63x55x17,Wood,89
Product B #1438,16.02,76x59x17,Titanium,195
Product A #1439,8.15,66x47x15,Wood,55
Product Z #1440,5.28,68x53x38,Titanium,144
Product D #1441,16.92,69x56x12,Carbon,266
Product A #1442,7.91,44x29x11,Plastic,147
Product A #1443,17.26,92x38x16,Wood,105
Product Z #1444,14.74,100x30x20,Carbon,288
Product A #1445,14.05,98x14x28,Aluminum,223
Product E #1446,4.63,28x27x18,Plastic,228
Product X #1447,4.53,46x56x23,Wood,157
Product Z #1448,17.29,25x60x31,Iron,14
Product A #1449,16.04,59x19x10,Steel,223
Product D #1450,21.84,51x58x34,Iron,124
Product D #1451,9.52,100x22x17,Wood,238
Product X #1452,19.35,47x26x25,Plastic,239
Product A #1453,2.89,88x59x29,Wood,294
Product B #1454,23.33,84x15x15,Steel,298
Product C #1455,7.81,100x20x30,Steel,19
Product Z #1456,21.71,82x47x8,Carbon,186
Product D #1457,8.19,42x31x39,Plastic,178
Product Y #1458,5.43,27x17x20,Aluminum,136
Product Y #1459,4.33,92x31x29,Plastic,26
Product C #1460,17.25,74x47x17,Wood,192
Product E #1461,10.14,25x33x23,Aluminum,202
Product D #1462,13.92,52x29x10,Iron,264
Product C #1463,3.58,24x25x31,Titanium,261
Product Y #1464,19.11,20x46x25,Plastic,88
Product E #1465,1.55,20x42x28,Wood,79
Product A #1466,13.04,39x38x33,Aluminum,189
Product D #1467,22.0,81x14x40,Titanium,187
Product Y #1468,5.96,80x40x5,Wood,133
Product D #1469,1.81,67x32x10,Wood,251
Product X #1470,3.35,59x33x17,Plastic,221
Product E #1471,15.26,99x49x11,Carbon,87
Product B #1472,15.55,71x21x7,Titanium,36
Product X #1473,18.5,68x48x38,Wood,161
Product Z #1474,2.64,95x49x27,Steel,264
Product E #1475,17.64,43x27x33,Titanium,174
Product X #1476,15.81,83x53x26,Titanium,160
Product E #1477,18.01,77x14x23,Iron,10
Product A #1478,16.05,25x22x12,Iron,63
Product E #1479,14.81,83x32x13,Wood,269
Product Z #1480,8.81,97x36x21,Carbon,130
Product B #1481,13.72,90x35x35,Plastic,242
Product X #1482,14.22,77x55x25,Carbon,241
Product C #1483,16.18,93x34x23,Titanium,15
Product B #1484,14.01,99x54x25,Plastic,152
Product Y #1485,17.81,33x40x9,Aluminum,158
Product Z #1486,18.48,90x48x16,Steel,280
Product Z #1487,23.63,59x33x40,Aluminum,19
Product B #1488,7.46,81x33x6,Iron,22
Product Y #1489,10.21,20x13x6,Carbon,155
Product E #1490,4.01,38x52x32,Iron,171
Product X #1491,11.0,64x14x40,Carbon,144
Product B #1492,11.57,77x28x20,Aluminum,209
Product Z #1493,12.11,65x24x13,Titanium,275
Product D #1494,6.34,40x15x6,Wood,62
Product X #1495,15.44,54x59x34,Aluminum,250
Product E #1496,6.74,58x12x39,Aluminum,215
Product D #1497,13.69,80x33x32,Carbon,50
Product Y #1498,2.19,75x33x20,Carbon,123
Product D #1499,2.77,59x48x12,Aluminum,142
Product X #1500,9.94,72x22x37,Iron,282
Product Y #1501,21.92,47x26x23,Aluminum,178
Product B #1502,13.75,20x27x27,Iron,33
Product C #1503,13.1,25x59x37,Iron,156
Product E #1504,19.8,27x16x33,Wood,242
Product Y #1505,21.9,49x17x22,Titanium,287
Product B #1506,22.03,51x49x26,Plastic,241
Product E #1507,11.63,64x23x36,Iron,100
Product X #1508,3.13,87x35x40,Wood,215
Product C #1509,1.71,36x49x22,Iron,122
Product C #1510,23.32,44x51x40,Carbon,173
Product C #1511,20.25,42x60x26,Iron,72
Product A #1512,21.65,73x52x13,Plastic,285
Product C #1513,12.49,22x13x27,Wood,36
Product A #1514,17.93,75x54x24,Wood,152
Product X #1515,19.68,44x48x20,Carbon,154
Product D #1516,11.98,39x41x13,Titanium,265
Product X #1517,18.63,92x19x24,Carbon,144
Product E #1518,10.12,65x49x23,Aluminum,101
Product D #1519,4.43,83x41x30,Plastic,232
Product A #1520,7.48,27x11x39,Wood,40
Product A #1521,22.07,37x38x35,Steel,66
Product Z #1522,7.34,21x11x39,Aluminum,251
Product Y #1523,19.93,62x46x14,Carbon,67
Product Z #1524,21.47,61x35x19,Carbon,164
Product Y #1525,24.45,90x29x8,Iron,143
Product A #1526,24.46,44x20x37,Plastic,60
Product E #1527,21.38,31x27x10,Carbon,123
Product Z #1528,19.39,25x22x17,Steel,82
Product A #1529,3.22,79x10x18,Plastic,175
Product Z #1530,10.83,68x47x6,Steel,128
Product Z #1531,18.27,33x22x9,Iron,56
Product A #1532,10.93,70x37x31,Steel,155
Product X #1533,9.4,59x41x14,Aluminum,35
Product C #1534,15.06,90x27x19,Plastic,88
Product C #1535,15.23,40x41x14,Wood,10
Product A #1536,2.38,100x44x13,Iron,53
Product Z #1537,13.37,82x38x39,Iron,154
Product D #1538,6.39,49x14x24,Aluminum,246
Product X #1539,7.34,61x55x31,Carbon,82
Product B #1540,9.17,47x53x6,Steel,110
Product C #1541,22.4,73x16x23,Steel,99
Product D #1542,14.59,31x44x28,Iron,180
Product Y #1543,12.9,72x21x27,Wood,158
Product B #1544,18.27,92x16x15,Titanium,19
Product Z #1545,1.41,56x35x20,Wood,139
Product C #1546,9.35,49x29x22,Carbon,215
Product C #1547,17.0,45x54x14,Carbon,170
Product A #1548,15.64,79x50x33,Titanium,290
Product D #1549,23.83,92x56x36,Wood,31
Product A #1550,18.96,99x18x31,Aluminum,12
Product Y #1551,4.7,80x48x19,Titanium,197
Product B #1552,3.96,38x34x13,Steel,283
Product B #1553,17.77,36x16x31,Steel,141
Product A #1554,24.56,91x14x7,Carbon,72
Product D #1555,21.31,25x54x33,Wood,228
Product X #1556,3.9,43x40x12,Titanium,20
Product Z #1557,21.78,75x13x10,Aluminum,166
Product E #1558,7.26,50x38x7,Carbon,226
Product C #1559,9.51,68x32x23,Plastic,54
Product B #1560,9.5,21x24x35,Carbon,96
Product Y #1561,16.65,35x24x19,Plastic,295
Product B #1562,14.0,89x28x16,Steel,252
Product X #1563,16.49,28x23x13,Plastic,165
Product Z #1564,22.54,53x25x31,Aluminum,187
Product X #1565,12.84,75x34x37,Carbon,295
Product Y #1566,10.82,48x34x13,Wood,94
Product D #1567,6.84,99x23x25,Steel,22
Product E #1568,7.43,94x24x11,Iron,286
Product X #1569,4.92,62x42x36,Plastic,78
Product D #1570,13.45,53x13x38,Iron,209
Product E #1571,16.54,24x37x31,Plastic,123
Product A #1572,16.38,63x32x34,Steel,278
Product Z #1573,24.21,27x24x5,Plastic,69
Product Y #1574,21.7,66x40x8,Titanium,226
Product E #1575,21.67,76x40x14,Wood,186
Product B #1576,14.74,79x29x24,Wood,100
Product A #1577,18.08,89x59x12,Carbon,20
Product B #1578,6.02,37x30x15,Plastic,180
Product B #1579,15.05,85x21x34,Titanium,13
Product B #1580,11.18,32x31x25,Iron,155
Product X #1581,20.34,57x49x8,Iron,204
Product E #1582,20.16,37x28x6,Aluminum,214
Product A #1583,14.11,38x35x14,Iron,96
Product C #1584,12.98,68x50x38,Titanium,101
Product Z #1585,16.98,71x23x11,Steel,248
Product Y #1586,24.81,83x15x17,Wood,224
Product Y #1587,2.47,96x42x24,Aluminum,171
Product X #1588,13.25,100x43x25,Aluminum,157
Product X #1589,4.38,77x50x15,Iron,174
Product A #1590,2.84,35x41x27,Steel,292
Product A #1591,7.41,76x47x27,Titanium,299
Product Y #1592,11.31,48x57x35,Steel,56
Product Y #1593,23.23,56x24x23,Aluminum,218
Product D #1594,8.92,29x53x5,Titanium,152
Product C #1595,8.99,35x29x17,Wood,109
Product B #1596,5.75,34x31x29,Steel,278
Product D #1597,10.92,34x52x20,Carbon,23
Product D #1598,8.91,75x15x39,Aluminum,147
Product X #1599,15.78,72x32x5,Wood,57
Product D #1600,12.5,26x44x6,Wood,209
Product D #1601,20.49,29x42x39,Wood,252
Product X #1602,15.71,65x20x17,Iron,294
Product Y #1603,24.54,96x31x7,Iron,211
Product C #1604,1.45,99x37x23,Titanium,45
Product Y #1605,17.31,44x59x30,Iron,29
Product C #1606,13.05,86x27x32,Plastic,32
Product C #1607,22.93,35x53x33,Titanium,241
Product Y #1608,11.5,81x43x6,Iron,190
Product A #1609,6.38,21x51x30,Carbon,175
Product D #1610,23.53,50x41x21,Plastic,218
Product Z #1611,10.38,64x54x19,Carbon,68
Product Y #1612,13.09,44x53x7,Steel,284
Product C #1613,8.72,85x31x34,Wood,219
Product C #1614,10.24,46x58x20,Iron,25
Product E #1615,18.69,56x54x7,Iron,85
Product A #1616,22.46,35x20x22,Wood,62
Product A #1617,4.59,36x14x6,Steel,87
Product X #1618,5.87,100x42x27,Plastic,131
Product X #1619,7.29,36x25x31,Wood,247
Product D #1620,4.44,56x32x6,Carbon,247
Product E #1621,9.69,54x28x23,Wood,172
Product C #1622,16.62,95x40x26,Aluminum,196
Product X #1623,4.42,51x20x37,Steel,153
Product E #1624,13.32,69x37x19,Titanium,273
Product E #1625,16.43,89x46x18,Iron,273
Product Z #1626,1.5,74x43x35,Wood,255
Product D #1627,10.62,32x48x6,Wood,199
Product Y #1628,8.75,70x56x18,Carbon,241
Product C #1629,9.28,54x44x5,Aluminum,154
Product B #1630,13.45,98x27x11,Plastic,17
Product Y #1631,7.65,57x31x26,Aluminum,201
Product E #1632,10.24,92x56x16,Iron,96
Product Z #1633,8.6,40x35x33,Iron,42
Product Z #1634,8.14,76x31x23,Iron,188
Product C #1635,2.46,74x11x23,Aluminum,202
Product Y #1636,11.57,67x52x10,Carbon,296
Product A #1637,5.87,61x38x31,Plastic,74
Product Z #1638,13.34,27x29x38,Steel,298
Product D #1639,7.11,89x22x28,Iron,211
Product E #1640,2.01,96x47x25,Carbon,143
Product A #1641,22.46,63x12x39,Steel,118
Product C #1642,21.51,92x33x18,Carbon,85
Product D #1643,22.45,72x12x6,Plastic,176
Product A #1644,15.41,57x56x13,Aluminum,240
Product Z #1645,15.7,52x35x19,Titanium,256
Product B #1646,13.21,56x27x6,Titanium,214
Product D #1647,11.48,84x18x34,Plastic,147
Product Y #1648,16.76,74x32x27,Plastic,135
Product D #1649,8.53,21x59x25,Steel,245
Product E #1650,22.14,54x31x39,Aluminum,78
Product C #1651,15.26,80x23x25,Plastic,163
Product Z #1652,23.67,87x57x16,Carbon,293
Product A #1653,12.25,87x54x27,Steel,263
Product C #1654,3.32,42x40x12,Steel,12
Product B #1655,11.16,78x52x27,Plastic,102
Product X #1656,5.42,70x49x22,Titanium,238
Product B #1657,22.73,32x28x27,Steel,114
Product A #1658,10.15,69x36x40,Plastic,116
Product Z #1659,5.68,91x27x28,Wood,249
Product D #1660,7.29,53x25x5,Wood,122
Product Z #1661,14.08,82x13x25,Steel,62
Product B #1662,5.2,35x56x20,Aluminum,169
Product Y #1663,17.41,59x48x27,Plastic,231
Product X #1664,23.6,57x50x22,Plastic,147
Product D #1665,14.03,35x27x17,Wood,178
Product D #1666,11.43,85x57x10,Titanium,23
Product E #1667,12.19,58x48x38,Carbon,236
Product C #1668,1.51,25x13x20,Carbon,136
Product Z #1669,2.08,100x30x21,Titanium,128
Product C #1670,5.92,36x37x8,Aluminum,266
Product D #1671,9.72,43x10x8,Plastic,266
Product X #1672,5.3,95x47x40,Plastic,290
Product Z #1673,18.75,87x43x10,Plastic,193
Product E #1674,16.5,75x38x27,Titanium,40
Product Y #1675,19.9,30x56x26,Titanium,293
Product D #1676,8.41,71x47x38,Titanium,294
Product B #1677,14.66,20x40x25,Carbon,71
Product A #1678,2.95,57x58x31,Steel,50
Product X #1679,18.79,65x22x34,Iron,208
Product B #1680,17.23,98x57x18,Carbon,183
Product Z #1681,17.74,94x44x27,Aluminum,228
Product X #1682,16.28,53x58x14,Iron,278
Product D #1683,6.83,53x35x32,Steel,212
Product C #1684,18.23,57x42x14,Iron,240
Product Y #1685,15.49,60x15x37,Wood,206
Product D #1686,2.64,86x13x23,Steel,85
Product E #1687,19.67,55x43x23,Wood,278
Product X #1688,4.31,28x46x26,Wood,98
Product A #1689,9.58,46x53x8,Iron,181
Product E #1690,20.83,57x46x36,Wood,246
Product E #1691,5.58,77x14x28,Titanium,170
Product Z #1692,6.57,80x49x27,Titanium,140
Product Y #1693,8.52,32x40x29,Carbon,29
Product X #1694,16.0,51x43x21,Steel,290
Product A #1695,20.29,85x16x31,Steel,276
Product A #1696,15.35,56x10x19,Titanium,163
Product D #1697,10.92,87x47x9,Titanium,248
Product Y #1698,18.61,45x32x28,Iron,266
Product A #1699,20.89,59x37x8,Iron,226
Product Y #1700,1.01,20x34x40,Iron,258
Product C #1701,12.88,46x52x29,Titanium,222
Product A #1702,14.78,33x13x15,Carbon,206
Product A #1703,6.37,63x44x36,Wood,300
Product E #1704,13.13,20x23x13,Plastic,103
Product D #1705,13.42,49x59x12,Carbon,119
Product Y #1706,24.9,54x57x13,Carbon,18
Product Y #1707,8.69,45x47x26,Steel,59
Product Z #1708,17.34,40x47x16,Aluminum,74
Product Z #1709,17.5,24x27x19,Iron,298
Product C #1710,5.0,57x52x22,Steel,132
Product Y #1711,4.1,80x29x34,Steel,191
Product D #1712,18.07,87x45x39,Titanium,123
Product X #1713,17.22,93x17x24,Iron,258
Product A #1714,9.03,21x40x5,Plastic,198
Product E #1715,5.2,41x53x7,Iron,143
Product B #1716,6.96,53x48x29,Titanium,121
Product D #1717,3.45,85x32x38,Carbon,97
Product B #1718,17.93,28x29x6,Steel,92
Product D #1719,16.87,90x54x32,Wood,84
Product D #1720,9.57,92x18x16,Titanium,125
Product B #1721,16.96,96x50x39,Plastic,45
Product Y #1722,1.96,68x12x8,Plastic,287
Product D #1723,14.72,30x16x12,Plastic,74
Product E #1724,19.32,56x41x7,Plastic,80
Product E #1725,19.71,31x43x27,Aluminum,296
Product D #1726,4.13,39x24x39,Iron,185
Product B #1727,18.43,81x57x33,Carbon,13
Product E #1728,8.38,39x27x27,Plastic,40
Product D #1729,18.27,68x26x7,Carbon,196
Product X #1730,1.4,26x47x30,Aluminum,123
Product E #1731,7.17,98x53x7,Plastic,194
Product Z #1732,18.03,68x43x20,Iron,261
Product E #1733,6.1,87x42x23,Steel,15
Product E #1734,2.91,48x15x25,Wood,230
Product D #1735,1.09,29x57x26,Iron,238
Product A #1736,18.43,75x30x8,Carbon,29
Product Y #1737,16.79,76x22x33,Plastic,268
Product E #1738,19.86,34x55x28,Titanium,115
Product E #1739,14.29,35x60x6,Iron,263
Product C #1740,1.24,33x45x20,Aluminum,243
Product D #1741,24.44,100x26x29,Titanium,49
Product C #1742,10.12,80x50x8,Aluminum,127
Product X #1743,22.13,31x33x19,Iron,212
Product A #1744,17.14,83x27x13,Steel,67
Product Y #1745,9.59,36x57x17,Titanium,164
Product A #1746,3.39,42x20x37,Iron,133
Product D #1747,8.84,61x32x40,Iron,223
Product A #1748,21.88,25x48x19,Wood,187
Product X #1749,19.15,35x52x33,Carbon,120
Product Y #1750,10.25,75x53x32,Plastic,93
Product B #1751,5.43,67x17x30,Wood,41
Product E #1752,20.72,34x13x7,Carbon,134
Product C #1753,2.53,56x12x33,Titanium,160
Product A #1754,17.85,69x56x14,Iron,271
Product Z #1755,14.43,53x31x21,Wood,269
Product X #1756,6.01,70x34x23,Iron,115
Product Y #1757,5.95,84x29x19,Steel,240
Product B #1758,17.33,67x25x20,Aluminum,180
Product A #1759,17.73,34x37x11,Plastic,289
Product C #1760,24.31,65x30x38,Steel,39
Product C #1761,17.04,37x11x23,Iron,164
Product C #1762,3.52,87x54x7,Carbon,205
Product Y #1763,10.62,48x19x18,Wood,78
Product C #1764,11.11,22x54x26,Carbon,215
Product X #1765,12.97,100x60x30,Iron,44
Product A #1766,17.56,85x20x32,Carbon,226
Product A #1767,10.57,46x47x37,Wood,101
Product Z #1768,9.89,91x54x33,Steel,237
Product Z #1769,20.27,70x51x36,Iron,293
Product X #1770,17.76,76x10x38,Wood,98
Product Z #1771,7.06,36x13x34,Wood,98
Product E #1772,4.67,65x16x18,Plastic,74
Product B #1773,11.99,77x56x29,Iron,88
Product Y #1774,18.08,81x57x32,Iron,290
Product Y #1775,11.95,32x41x39,Steel,220
Product X #1776,24.07,98x57x38,Iron,98
Product D #1777,20.95,75x22x28,Aluminum,59
Product A #1778,10.5,96x41x29,Titanium,245
Product X #1779,18.75,66x56x37,Carbon,226
Product C #1780,3.5,72x15x5,Carbon,209
Product A #1781,1.37,67x33x26,Aluminum,69
Product B #1782,12.08,98x38x8,Aluminum,161
Product A #1783,21.75,67x38x40,Titanium,293
Product A #1784,3.77,67x32x32,Titanium,191
Product Z #1785,16.78,26x42x18,Steel,300
Product B #1786,20.93,97x18x16,Carbon,296
Product C #1787,20.84,87x51x30,Aluminum,153
Product A #1788,2.73,62x50x19,Iron,299
Product X #1789,5.7,71x26x18,Steel,88
Product B #1790,1.2,46x27x11,Wood,236
Product C #1791,3.32,98x38x11,Wood,266
